Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,The Times Literary Supplement,1982-05-14,p. 541,"http://link.galegroup.com/apps/doc/EX1200161850/GDCS?u=
linc74325&sid=GDCS&xid=3e477aa0",2019-07-01,Gale Primary Sources Database,"Delius, Anthony. ""Effects of exile."" The Times Literary Supplement, 14 May 1982, p. 541. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200161850/GDCS?u=
linc74325&sid=GDCS&xid=3e477aa0. Accessed 1 July 2019.",Effects of exile,"Delius, Anthony ","Peters, Lenrie
Kunene, Mazisi","Peters
Kunene",,"Lenrie
Mazisi","Senghor, Léopold Sédar ",,"Delius, Anthony|Critic","Peters, Lenrie. Selected Poetry. Heinemann, 1981.

Kunene, Mazisi. Anthem of the Decades. Heinemann, 1981.","Single Author|Selected Works

Single Author|Full Length
",,,,,,,"Anthony Delius reviews two collections of poetry that both are from poets who have been or are in ""exile."" He suggests that in response to exile, one can become ""critical of the culture left behind"" or ""promote it in the face of the omnipresent pressure of the culture of the place or places of refuge."" Delius suggests that Lenrie Peters' work is more of the first, while Mazisi Kunene's is the second. Delius quotes, ""An African critic has written that 'of all African poets of the English expression, he is the least concerned about his country and most concerned about the fate of the continent as a whole!'"" Meanwhile, ""Mazisi Kunene's 300-page dithyramb is dedicated to all the women of Africa, especially the renowned Zulu women, as well as to a couple of goddesses in the African pantheon... [Kunene] grew up listening to the insolent upholders of 'White Christian Civilization' who claimed that black people were unable to produce a civilization like their own or of any kind. Possibly after nearly thirty years of forced exile, Kunene still feels the need to explode that racist absurdity, as well as express his proper pride in the cultural and religious concepts of the Zulus.""",,"collection, exile, refuge, criticism, religion, civilization",
Book Review,The Times Literary Supplement,1966-09-08,p. 816," http://link.galegroup.com/apps/doc/
EX1200342910/GDCS?u=linc74325&sid=GDCS&xid=f3ec4684",2019-07-01,Gale Primary Sources Database,"Beier, Ulli, and U. BEIER. ""Agisymbolic."" The Times Literary Supplement, 8 Sept. 1966, p. 816. The
Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200342910/GDCS?u=linc74325&sid=GDCS&xid=f3ec4684. Accessed 1 July 2019.",Agisymbolic,"Beier, Ulli ","Senghor, Léopold Sédar",Senghor,Sédar ,Léopold ,"Hughes, Langston 
Cesaire, Aime 
Latino, Juan 
",,"Beier, Ulli|Critic
Lasebikan, E. L.|Writer","Hanheinz, Jahn. Geschichte der neoafrikanischen Literatur. Dusseldork: Eugen Diederichs Verlag, 1966. ","Anthology 
",,,,,,,"The review entitled Agisymbolic is critical of Janheinz Jahn collection of works; the ""heterogenous material"" included in his book varies from ""Juan Latino, who wrote bad poems in Latin in praise of Spanish noblemen; Langston Hughes pleading for sympathy; Somali poets imitating Arabic ideas of chivalry,"" and so on. The critic is skeptical of Jahn's suggestion that all of ""the black African cultures south of the Sahara form a cultural unit"" and that they can be collectively called Agisymbia. Jahn defines neo-African literature all writing that contains Agisymbian-style elements, but never truly explains what an ""Agisymbian"" element includes. ",,"criticism, collection, indigenous, identity",
Book Review,The Sunday Times,1974-10-06,p. 35,http://link.galegroup.com/apps/doc/FP1800821524/GDCS?u=linc74325&sid=GDCS&xid=34344baa,2019-07-01,Gale Primary Sources Database,"Smith, Godfrey. ""Cruising through hell."" Sunday Times, 6 Oct. 1974, p. 35. The Sunday Times Digital Archive,
http://link.galegroup.com/apps/doc/FP1800821524/GDCS?u=linc74325&sid=GDCS&xid=34344baa. Accessed
1 July 2019.",Cruising through hell,"Smith, Godfrey ","Driver, C. J. [Jonty]",Driver,,C. J. [Jonty],,,"Smith, Godfrey|Critic","Driver, C. J. A Messiah of the Last Days. Faber & Faber, 1974.","Single Author|Full Length
",,,,,,,"Smith writes a review of multiple books, but of C. J. Driver's, he writes: ""The first is by a gifted young South African poet, C. J. Driver. A Messiah of the Last Days is about the involvement between Tom Grace, a successful London barrister, and John Buckleson, an idealistic demagogue who leads a sect called the Free People, dedicated in our old country grown weary of the gruesome political cliches, to the building of a new Jerusalem. It's full of interest, but a touch melodramatic in its denoument.""",,"review, criticism, barrister, Jerusalem",
Book Review,The Times Literary Supplement,1947-05-31,p. 296,"http://link.galegroup.com/
apps/doc/EX1200281100/GDCS?u=linc74325&sid=GDCS&xid=ad7928cb",2019-07-01,Gale Primary Sources Database,"Charles, Edmund, and Blunden (AKA). ""A Poet of South Africa."" The Times Literary Supplement, 31
May 1947, p. 269. The Times Literary Supplement Historical Archive, http://link.galegroup.com/
apps/doc/EX1200281100/GDCS?u=linc74325&sid=GDCS&xid=ad7928cb. Accessed 1 July
2019.",A Poet of South Africa,,"Slater, Francis Carey [F. C.]",Slater,,Francis Carey [F. C.],"Pringle, Thomas
Scott, Sir Walter
Arnold, Matthew ",,"Ensor, R. C. K.|Writer","Slater, F. C. Selected Poems of Francis Carey Slater. Oxford University Press, 1947. ",Single Author|Selected Works,,,,,,,"The critic writes, of F. C. Slater's poetry collection, ""The selection contains only a few pieces on topics of an abstract kind, aesthetic or philosophical; one of hte few is a generous and curious fancy concerning all the activities and the mutations of the poetic spirit. But the scarcity of such detached reflections is not to be misunderstood; for the whole book is founded in reflective habit and maturity through which the national theme so prominent in it is measured and given its setting in the landscape of all human affairs. The secret of his whole structure is his comprehension of life, thought and art beyond geographical boundaries."" ",,"collection, criticism",
Book Review,The Times Literary Supplement,1991-02-22,p. 8 ,"http://link.galegroup.com/apps/doc/EX1200461917/GDCS?u=
linc74325&sid=GDCS&xid=4c9d3c06",2019-07-01,Gale Primary Sources Database,"Watson, Stephen. ""African poems."" The Times Literary Supplement, 22 Feb. 1991, p. 8. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200461917/GDCS?u=
linc74325&sid=GDCS&xid=4c9d3c06. Accessed 1 July 2019.",African Poems of Thomas Pringle,"Watson, Stephen","Campbell, Roy",Campbell,,Roy,"Pringle, Thomas ",,"Watson, Stephen|Critic","Chapman, Michael and Ernest Pereira, eds. African Poems of Thomas Pringle. Killie Campbell Africana Library, 1989. ",Single Author|Collected Works,,,,,,,"Stephen Watson reviews the poetry collection of Thomas Pringle, who is a Scottish poet considered to be the ""father of South African poetry"": ""On the face of it, the title might seem well-deserved. He was undoubtedly the first of the nineteenth-century colonial poets to take on the general conditions of life in the Colony as his subject matter. Moreover, his poetry's early, often outraged protests against white tyranny, as well as its championing of the dispossessed and maligned black peoples, have made him the obvious founding father of that tradition of protest poetry which has been more or less dominant in South Africa in the past few decades."" Watson writes of Roy Campbell that Pringle fathered few successors of his kind of poetry, and the only ""significant child"" was Campbell, who appears a century later.",,"tyranny, protest, collection, review, father, colonialism",
Book Review,The Times Literary Supplement,November 25 - Dec 1 1988,p. 1307,"http://link.galegroup.com/apps/doc/EX1200456534/GDCS?u=
linc74325&sid=GDCS&xid=a4b25d13",2019-07-01,Gale Primary Sources Database,"Barber, Karin. ""A world reclaimed."" The Times Literary Supplement, 25 Nov. 1988, p. 1307. The Times
Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200456534/GDCS?u=
linc74325&sid=GDCS&xid=a4b25d13. Accessed 1 July 2019.",A world reclaimed,"Barber, Karin ","Ibekwe, Chinweizu 
Soyinka, Wole 
Ogundipe-Leslie, Omolara
Jactino, Antonio  [Orlando Tavora]",Chinweizu,,Ibekwe,,,"Barber, Karin|Critic","Voices from Twentieth-Century Africa: Griots and towncriers. Faber, 1988.",Anthology,,,,,,,"Karin Barber writes that Chinweizu's anthology, Voices from Twentieth-Century Africa, ""aims to map out by example the true dimensions of the field of African literature."" Barber appreciates Chinweizu's inclusion of traditional orature among literature, but criticizes his ""bypassing the things that a lot of ordinary African people actually read, watch, and listen to.""",,"orature, oral, collection, review, criticism, identity",
Radio Schedule,The Sunday Times,1995-12-31,p. 51 [S6],"http://link.
galegroup.com/apps/doc/FP1801763386/GDCS?u=linc74325&sid=GDCS&xid=c3d92d3b",2019-07-01,Gale Primary Sources Database,"""Saturday 6 January."" Books. Sunday Times, 31 Dec. 1995, p. 51[S6]. The Sunday Times Digital Archive, http://link.
galegroup.com/apps/doc/FP1801763386/GDCS?u=linc74325&sid=GDCS&xid=c3d92d3b. Accessed 1 July 2019.","Sunday 6 January: Radio 3
",,"Campbell, Roy",Campbell,,Roy,,,,,,Radio 3 Schedule: 9.25am,,,,,,9.25 Best Words. A reassessment of South African poet Roy Campbell.,,radio,
Radio Schedule,The Sunday Times,1999-01-24,p. 44 [S10],"http://link.galegroup.com/apps/
doc/FP1802605661/GDCS?u=linc74325&sid=GDCS&xid=ceeae2c3",2019-07-01,Gale Primary Sources Database,"""Radio."" Culture. Sunday Times, 24 Jan. 1999, p. 44[S10]. The Sunday Times Digital Archive, http://link.galegroup.com/apps/
doc/FP1802605661/GDCS?u=linc74325&sid=GDCS&xid=ceeae2c3. Accessed 1 July 2019.",Radio: Radio 3 ,,"Krog, Antjie",Krog,,Antjie,,,"Coles, Richard|Reporter",,,Radio 3 Schedule: 10.45,Whitbread Book Awards Announcement,1999,United Kingdom. England.,Event|Professional,,10.45 Night Waves. Richard Coles talks to leading South African poet and journalist Antjie Krog; plus the announcement of the Whitbread Book Awards.,,radio,
Book Review,The Times Literary Supplement,1997-06-27,p. 24,"http://link.galegroup.com/apps/doc/EX1200487325/GDCS?u=linc74325&sid=
GDCS&xid=608eb866",2019-07-01,Gale Primary Sources Database,"White, Landeg. ""The Bishop's move."" The Times Literary Supplement, 27 June 1997, p. 24. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200487325/GDCS?u=linc74325&sid=
GDCS&xid=608eb866. Accessed 1 July 2019.",The Bishop's move,"White, Landeg",,,,,"Wordsworth, William
Coleridge, Samuel Taylor",,"White, Landeg|Critic
Percy, Bishop Thomas|Editor 
","Percy, Thomas. Reliques of Ancient English Poetry. Routledge/Bristol: Thoemmes Press, 1765.",Anthology,,,,,,,"No particular African poet is mentioned, but, when speaking of literary history, critic Landeg White writes: ""There are moments in literary history (arguably in eleventh-century Andalusia, giving rise to troubadour poetry, demonstrably in modern Africa and Caribbean poetry in English) when popular culture challenges literacy and raises the most basic questions about peotry's subject-matter, forms, language, and means of dissemination; in short, about who poetry belongs to.""",,"criticism, troubadour, aesthetic, identity",
Book Review,The Times Literary Supplement,1953-10-02,p. 628,"http://link.galegroup.com/apps/doc/
EX1200299442/GDCS?u=linc74325&sid=GDCS&xid=472db479",2019-07-06,Gale Primary Sources Database,"Fraser, G. S., and G. S. Fraser. ""The Climate of Taste."" The Times Literary Supplement, 2 Oct. 1953, p.
628. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200299442/GDCS?u=linc74325&sid=GDCS&xid=472db479. Accessed 6 July 2019.",The Climate of Taste,"Fraser, George Sutherland ","Wright, David",Wright,,David,"Campbell, Roy 
Roberts, Michael 
Heath-Stubbs, John 
",,"Fraser, George Sutherland|Critic",,,"Heath-Stubbs, John, ed. The Faber Book of Twentieth Century Verse: An Anthology of Verse in Britain 1900-1950. Faber, 1953.",,,,,,"G. S. Fraser reviews the new anthology, The Faber Book of Modern Verse, which is intended to complement the previous version, the Faber Book of Modern Verse, collected by Michael Roberts. This new anthology was edited by two poets, John Heath-Stubbs and David Wright. Of David Wright, Fraser says: ""...readers of anthologies, however, will have enjoyed both his poems on classical themes and his comic and satirical pieces, which have something of the robustness of similar work by his fellow-countryman, Mr. Roy Campbell.""",,"collection, criticism, review",
Book Review,The Times Literary Supplement,1985-05-10,p. 527,"http://link.galegroup.com/apps/doc/EX1200447360/GDCS?u=
linc74325&sid=GDCS&xid=34e39750",2019-07-06,Gale Primary Sources Database,"Walder, Dennis. ""Quiet and disquiet."" The Times Literary Supplement, 10 May 1985, p. 527. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200447360/GDCS?u=
linc74325&sid=GDCS&xid=34e39750. Accessed 6 July 2019.",Quiet and disquiet,"Walder, Dennis ","Cullinan, Patrick
Livingstone, Douglas
Mtshali, Oswald Joseph","Cullinan
Livingstone
Mtshali",,"Patrick
Douglas
Oswald","Donne, John ",,"Walder, Dennis|Critic","Cullinan, Patrick. The White Hail in the Orchard and other poems. Cape Town: David Philip, 1984.

Livingstone, Douglas. A Rosary of Bone. Second edition, with more poems. Cape Town: David Philip, 1983.

Mtshali, Oswald. Fireflames. Rex Collings, 1980.","Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works",,,,,,,"Dennis Walder discusses three African poets in his review ""Quiet and disquiet."" He compares and contrasts the work of Patrick Cullinan, Douglas Livingstone, and Oswald Mtshali. Walder suggests that Cullinan ""sidesteps the factional rhetoric of his native land, preferring subtelty, irony, and indirection,"" while Livingstone is a ""confident meditation on the vicissitudes of desire,"" though it is detached and lacking ""point."" Walder points to Oswald Mtsali's collection Sounds of a Cowhide Drum (1971) for ""urgent voices"" on the urban black experience, though he is critical of Mtshali's latest work, Fireflames, which he sees as ""abandon[ing] the quieter, ironic mode of his earlier work for rhetorical expostulation"" that ""lie inert on the page.""",,"review, criticism, comparison, aesthetic, identity",
Book Review,The Times Literary Supplement,1917-12-27,p. 650+,"http://link.galegroup.com/apps/doc/EX1200022163/
GDCS?u=linc74325&sid=GDCS&xid=c9e20bd9",2019-07-06,Gale Primary Sources Database,"""New Books and Reprints."" The Times Literary Supplement, 27 Dec. 1917, p. 650+. The Times
Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200022163/
GDCS?u=linc74325&sid=GDCS&xid=c9e20bd9. Accessed 6 July 2019.",New Books and Reprints: Poetry,,"Vine Hall, Arthur",Vine Hall,,Arthur,,,,"Vine Hall, Arthur. The Submarine and the Aeroplane. Oxford: B. H. Blackwell, 1917. ",Single Author|Selected Works,,,,,,,"""Poems of fine spirit and texture, carried through with the lilt of ballad metre, describing the fight with the submarine, the sensations of flight, and the adventures and heroism of airmen. Mr Vine Hall is a South African poet and some portions of these poems have appeared in South African periodicals.""",,"periodicals, airmen, flight, submarine, war, colonialism",
Book Review,The Times Literary Supplement,1999-11-26,p. 10+,"http://link.galegroup.com/apps/doc/EX1200497937/GDCS?u=linc74325&sid=
GDCS&xid=8106b835",2019-07-06,Gale Primary Sources Database,"Kavanagh, P. J. ""From Slad to Spain and back."" The Times Literary Supplement, 26 Nov. 1999, p. 10+. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200497937/GDCS?u=linc74325&sid=
GDCS&xid=8106b835. Accessed 6 July 2019.",From Slad to Spain and back,"Kavanagh, P. J. ","Campbell, Roy",Campbell,,Roy,,,"Kavanagh, P. J.|Critic",,,,,,,,,"""It is, after all, an extraordinary story. Everyone knows how the boy from Slad, Gloucestershire, not yet twenty, walked out one mid-summer morning armed with nothing much but a fiddle, a tent and his downy good looks... Playing his fiddle in the main square of Toledo, he attracted the attention of Roy Campbell, the South African poet, who invited him to stay. Campbell was married to Mary, one of the fabled German sisters, bohemian upper-class beauties, and Laurie was photographed with her five-year-old niece Kathy (daugther of another German sister) on his knee. A decade and a half later, Kathy married him, and with their daughter Jesse, loked after him for the rest of his life."" ",,"marriage, bohemian, colonialism",
